,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy
4362,바지,슈트 팬츠/슬랙스,Signature stitch unbalance pin tuck flare slacks (M23LENEW_VT3),M23LENEW_VT3,0,0,1,,"(0, 0)",,0,950000.0,0,25.0,,0,
4363,바지,기타 바지,플리츠 테이퍼드 팬츠 화이트,ss6-020,0,0,1,,"(0, 0)",,12,76200.0,40,5.0,,0,
4364,바지,기타 바지,커브드 나일론 지퍼 팬츠 (블랙),커브드 나일론 지퍼 팬츠 (블랙),0,0,0,,"(0, 0)",,11,188000.0,0,5.0,,0,
4365,바지,트레이닝/조거 팬츠,주니어 기모 릴렉스 조거팬츠 (블랙),OCLHDJ-24,1,0,2,1.0,"('40세~', 0)",1100.0,169,28000.0,49,4.0,4.8,50,200.0
4366,바지,트레이닝/조거 팬츠,주니어 기모 썬더 포인트 오버핏 트레이닝 세트 (그레이),OCLHDJ-22,1,0,2,1.0,"('40세~', 0)",1000.0,185,53000.0,50,4.0,4.5,20,100.0
4367,바지,기타 바지,미니 로고 자수 후디&조거 팬츠 셋업 (4color),pkds509022su04,0,0,2,1.0,"('40세~', 0)",4700.0,1618,41900.0,71,4.0,4.7,707,1800.0
4368,바지,트레이닝/조거 팬츠,폴라 플리스 스웨트 팬츠 [블루 그레이],MKBPK706-BY,0,1,2,1.0,"('34~39세', 0)",1700.0,159,19990.0,33,3.0,5.0,124,250.0
4369,바지,데님 팬츠,HEM LOGO CARGO DENIM PANTS BLUE_UNISEX,ML23FB07BL,0,0,2,,"('24~28세', 0)",4500.0,64,199000.0,0,4.0,,0,
4370,바지,트레이닝/조거 팬츠,[CP] 여름 기능성 쿨링 와이드 밴딩 카고 조거 팬츠 [IVORY] 냉장고바지 ver.,CP_SJGPATS_IV,1,0,1,1.0,"('24~28세', 0)",2800.0,1162,44800.0,20,4.0,4.6,31,100.0
4371,바지,데님 팬츠,카펜터 데님 팬츠_블루,CBCFUDP048BL,1,0,2,0.0,"('24~28세', 0)",2800.0,419,59900.0,13,5.0,4.9,7,50.0
