,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy,score,buy_age1,buy_age2
2525,바지,기타 바지,Field Vijo Balloon Pants - Beige,AG20221001,0,0,0,0.0,"('19~23세', 0)",950.0,1140,139000.0,0,5.0,4.9,116,150.0,0.986842105263158,2,0
2526,바지,코튼 팬츠,코듀로이 카고 팬츠 D510 - 4컬러,510_4,0,0,0,0.0,"('19~23세', 0)",2200.0,344,39800.0,41,5.0,4.8,31,100.0,1.0,2,0
2527,바지,데님 팬츠,DIRTY WASHED DENIM PANTS (BLUE),JUDN002,0,0,0,0.0,"('19~23세', 0)",2900.0,966,86400.0,20,5.0,4.9,59,100.0,1.0,2,0
2528,바지,트레이닝/조거 팬츠,SAU 로고 트레이닝 조거 팬츠,TRNJGPTSSAU,0,0,0,0.0,"('40세~', 0)",3900.0,1032,19900.0,72,5.0,4.6,135,650.0,0.9285714285714286,6,0
2529,바지,코튼 팬츠,"BIG COMBAT CARGO PANTS, DIRTY CREAM",QB3PT14CR,0,0,0,0.0,"('19~23세', 0)",2400.0,416,196200.0,10,5.0,4.4,10,50.0,0.8888888888888888,2,0
2530,바지,코튼 팬츠,NU-MAC CARPENTER PANTS Dark Blue Camo,IYPTDC005BL,1,0,0,0.0,"('24~28세', 0)",1100.0,432,126000.0,25,5.0,4.4,15,50.0,0.9166666666666666,3,0
2531,바지,트레이닝/조거 팬츠,PUCKERING JOGGER PANTS (UNISEX) WHITE,23SPBOT06WHT,1,0,1,1.0,"('24~28세', 0)",850.0,737,194000.0,0,5.0,4.8,17,50.0,1.0,3,0
2532,바지,숏 팬츠,카펜터 데님 하프 팬츠_라이트 인디고,AREUBAN22SM032,0,0,0,0.0,"('29~33세', 0)",550.0,194,29600.0,60,5.0,4.8,25,50.0,1.0,4,0
2533,바지,코튼 팬츠,셔링 컴벳 트라우져 (베이지),CXD2PT15V-BEG,0,0,2,0.0,"('24~28세', 0)",1600.0,1259,139500.0,10,5.0,4.9,92,250.0,1.0,3,0
2534,바지,슈트 팬츠/슬랙스,레귤러 실루엣 팬츠 블랙,B23FWMP01BKA1,0,0,0,0.0,"('24~28세', 0)",2500.0,1656,105300.0,10,5.0,4.8,323,900.0,0.9864864864864864,3,0
2535,바지,데님 팬츠,세미와이드 카고 데님팬츠 숄트데님,723_bl,0,0,0,0.0,"('24~28세', 0)",2700.0,2338,43400.0,30,5.0,4.8,199,750.0,0.9767441860465116,3,0
2536,스포츠/용품,하의,스냅 와이드 부츠컷 팬츠 DFW4029 베이지,DFW4029_BE,0,0,1,1.0,"('40세~', 0)",750.0,305,10900.0,80,5.0,4.6,39,50.0,1.0,6,0
2537,바지,코튼 팬츠,Right angle Pants [Black],TMB234PT803_70,1,0,1,1.0,"('24~28세', 0)",1300.0,337,179000.0,0,5.0,4.5,4,50.0,1.0,3,0
2538,바지,슈트 팬츠/슬랙스,Signature string wide slacks - BLACK,CF1WWD213BK,0,1,2,1.0,"('24~28세', 0)",750.0,876,89000.0,0,5.0,5.0,11,50.0,1.0,3,0
2539,바지,트레이닝/조거 팬츠,핀턱 세미 와이드 일자핏 트레이닝 팬츠 3color,핀턱 와이드 롱팬츠,0,0,0,0.0,"('24~28세', 0)",1100.0,60,38900.0,0,5.0,4.7,3,50.0,1.0,3,0
2540,바지,코튼 팬츠,signature corduroy straight pants (black),304331938,0,0,1,1.0,"('24~28세', 0)",1800.0,297,53400.0,40,15.0,4.5,11,50.0,1.0,3,0
2541,스포츠/용품,하의,4way 트레이닝 조거팬츠 (BLACK) / BM220824,BM190409,0,0,0,0.0,"('24~28세', 0)",1600.0,364,29000.0,0,5.0,4.7,48,300.0,0.9675324675324676,3,0
2542,바지,데님 팬츠,OVERSIZED DENIM PANTS DIRTY WHITE (TP0051),5005601211,0,0,0,0.0,"('24~28세', 0)",1300.0,649,108000.0,10,5.0,5.0,6,50.0,1.0,3,0
2543,바지,코튼 팬츠,MOLESKIN PANTS BEIGE,P0000BNU,1,0,0,0.0,"('29~33세', 0)",1900.0,118,128000.0,0,5.0,5.0,26,50.0,1.0,4,0
2544,바지,데님 팬츠,코튼 린넨 롱 와이드 데님 밴딩 팬츠 [그레이쉬블랙],denim,0,0,0,0.0,"('40세~', 0)",800.0,293,13900.0,77,5.0,4.3,18,50.0,0.9117647058823528,6,0
